"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"527","“Ada messi pun tak menang” https://t.co/T3HiS7jMQi",FALSE,0,NA,2018-06-17 06:02:24,FALSE,NA,"1008228346101051392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AMRLAKF",0,FALSE,FALSE,NA,NA,"Johore, Malaysia","en","http://pbs.twimg.com/profile_images/991290176147144710/Mv6YQPMg_normal.jpg"
"528","#LeoMessi
#MessiSiempreMessi
@MESSI_Eterno 
@Messiologia 
@fundacionmessi 
@fundacionmessi 
#Messi 
@TeamMessi https://t.co/7xjUpURxtC",FALSE,0,NA,2018-06-17 06:02:23,FALSE,NA,"1008228344649932800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MESSI_Eterno",0,FALSE,FALSE,NA,NA,"Argentina. ","es","http://pbs.twimg.com/profile_images/1006043530568060929/Q7wOh9SM_normal.jpg"
"529","RT @Pol_Sec_Analyst: Finally understand why some people refer to Lionel Messi as a GOAT after watching him being herded around for 90 minut…",FALSE,0,NA,2018-06-17 06:02:23,FALSE,NA,"1008228341189627904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siyandiki",934,TRUE,FALSE,NA,NA,"South Africa","en","http://pbs.twimg.com/profile_images/1006682153546125314/vX45iDDX_normal.jpg"
"530","RT @genteconvos: Reacción de aficionados de Argentina ante el fallo de Messi!!!
Vía @genteconvos https://t.co/kqLrmABZef",FALSE,0,NA,2018-06-17 06:02:22,FALSE,NA,"1008228340388581376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","garces20071",45,TRUE,FALSE,NA,NA,"Medellín, Colombia","es","http://pbs.twimg.com/profile_images/1008215637842382848/DzbXC3oR_normal.jpg"
"531","@MarcoBarzaghi Adesso salta fuori che #icardi è meglio di #messi 
5 palloni d oro. Ma veramente prima. Di scrivere… https://t.co/RBnspp5Y67",FALSE,0,"MarcoBarzaghi",2018-06-17 06:02:22,TRUE,"1008000336685142024","1008228339985895424","78672907","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cris7887",0,FALSE,FALSE,NA,NA,"Sardegna","it","http://pbs.twimg.com/profile_images/894996686950600706/SevTiYTV_normal.jpg"
"532","RT @ClinicaIEden: Messi:
Trophies: 32
Age: 30

Ronaldo:
Trophies: 23
Age: 33

Two games doesn't change anything.",FALSE,0,NA,2018-06-17 06:02:22,FALSE,NA,"1008228337536335872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jabulan9Mashiya",1894,TRUE,FALSE,NA,NA,"Bothaville, South Africa","en","http://pbs.twimg.com/profile_images/965531780102148096/0vByCc3d_normal.jpg"
"533","RT @NiccoloZancan: Una preghiera per il tipografo che si è tolto la vita a Gorizia. Per tutti i lavoratori messi da parte. Per chi è più fr…",FALSE,0,NA,2018-06-17 06:02:22,FALSE,NA,"1008228337389580288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tpagnanelli",103,TRUE,FALSE,NA,NA,"viterbo","it","http://pbs.twimg.com/profile_images/3033880368/f83aa53b614f40ce8c7a5c506e5e3a81_normal.jpeg"
"534","RT @karamikamel: Macam mana Iceland boleh draw? 

By playing to their strength. Compact kan defense untuk sekat short passes Argentina. 

D…",FALSE,0,NA,2018-06-17 06:02:21,FALSE,NA,"1008228335808233472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akmalmfao",15,TRUE,FALSE,NA,NA,"Selangor, MY ","en","http://pbs.twimg.com/profile_images/1007682075380477953/iSH-WgrF_normal.jpg"
"535","@nandu_mufc_ @Cristiano @ManUtd @selecaoportugal Indeed I say Ronaldo is the god of football not Messi never",FALSE,1,"nandu_mufc_",2018-06-17 06:02:21,FALSE,"1008211862654107648","1008228334902407169","802431127948431361","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YamoahCadman",0,FALSE,FALSE,NA,NA,"Accra Mamprobi ","en","http://pbs.twimg.com/profile_images/1008219735916470273/JbLk-OBT_normal.jpg"
"536","RT @simonlewiswaner: @Sowellnomics No doubt the effect of meeting the leader of a party that only has 6% has affected Messi.",FALSE,0,NA,2018-06-17 06:02:21,FALSE,NA,"1008228333849636865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","simonlewiswaner",1,TRUE,FALSE,NA,NA,"Wherever I hang my hat.","en","http://pbs.twimg.com/profile_images/820653515408285697/7uerf_iM_normal.jpg"
"537","RT @32xeneize10: Enamorate de alguien que te mire como MESSI A PAVON..... https://t.co/970R94ylvR",FALSE,0,NA,2018-06-17 06:02:21,FALSE,NA,"1008228332348018688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rociopons1",13,TRUE,FALSE,NA,NA,"San Juan, Argentina","es","http://pbs.twimg.com/profile_images/976344141931139073/UZrugmwK_normal.jpg"
"538","RT @simostu9: Messi, 5 volte pallone d'oro, è una capra per aver sbagliato un rigore vs l'Islanda.
Dybala è meglio di Platini dopo una favo…",FALSE,0,NA,2018-06-17 06:02:20,FALSE,NA,"1008228329097519104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lau_3991",34,TRUE,FALSE,NA,NA,"","it","http://pbs.twimg.com/profile_images/997698942237372417/GunZJ0cM_normal.jpg"
"539","RT @Javierito321: Cuando vas al mundial pero no lees los carteles porque eres comunista y drogadicto 

#Argentina #Messi #Iceland https://t…",FALSE,0,NA,2018-06-17 06:02:20,FALSE,NA,"1008228328862572545",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","cacayo50",1801,TRUE,FALSE,NA,NA,"","es","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"540","RT @Telemetro: HOY a las 8am, la albiceleste de Messi debuta ante una valiente oncena europea. #Argentina vs #Islandia 8am - #Perú vs #Dina…",FALSE,0,NA,2018-06-17 06:02:20,FALSE,NA,"1008228328271212544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Antony_hrra",41,TRUE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/943682965124665344/9S2XBPkA_normal.jpg"
"541","RT @DammitArsenal: Best meme ever created on Messi, Ronaldo and Benzema. <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082> https://t.co/KcCGz8rdXk",FALSE,0,NA,2018-06-17 06:02:19,FALSE,NA,"1008228326635257857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fakrisyamin",9322,TRUE,FALSE,NA,NA,"MY","en","http://pbs.twimg.com/profile_images/1007523359867801600/P5y7Pezx_normal.jpg"
"542","RT @MatiildaxD: Quiero que Messi gane un mundial. Si se tiene que cambiar de país, que se cambie.",FALSE,0,NA,2018-06-17 06:02:19,FALSE,NA,"1008228326589259777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LaHowBowDah",1227,TRUE,FALSE,NA,NA,"Programa de Dr. Phil","es","http://pbs.twimg.com/profile_images/824676497495617538/iam4AMhy_normal.jpg"
"543","RT @vikatan: <U+0BAA><U+0BC6><U+0BA9><U+0BBE><U+0BB2><U+0BCD><U+0B9F><U+0BCD><U+0B9F><U+0BBF><U+0BAF><U+0BC8> <U+0BAE><U+0BBF><U+0BB8><U+0BCD> <U+0BAA><U+0BA3><U+0BCD><U+0BA3><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BC0><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BC7> <U+0BAE><U+0BC6><U+0BB8><U+0BCD><U+0BB8><U+0BBF>... #ARGISL <U+0BAA><U+0BB0><U+0BAA><U+0BB0> <U+0BA8><U+0BBF><U+0BAE><U+0BBF><U+0B9F><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BCD>! | #Messi | #FifaWorldCup2018 | https://t.co/FvGEknnzMV htt…",FALSE,0,NA,2018-06-17 06:02:19,FALSE,NA,"1008228325758648320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hameeth600",2,TRUE,FALSE,NA,NA,"Cochin, India","en","http://pbs.twimg.com/profile_images/935930299497693184/UiBqwRth_normal.jpg"
"544","RT @MotivacionesF: Como todos queremos ver a Leo Messi en este mundial. <f0><U+009F><U+0098><U+008D><U+2764><f0><U+009F><U+0094><U+009D><f0><U+009F><U+0094><U+00A5> https://t.co/fub9laUtHU",FALSE,0,NA,2018-06-17 06:02:19,FALSE,NA,"1008228324529885185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guadamiras",213,TRUE,FALSE,NA,NA,"Mendoza, Argentina","es","http://pbs.twimg.com/profile_images/1008094735007866880/OHfnp2w8_normal.jpg"
"545","RT @JesusDelTw: EL PRIMERO QUE CRITIQUE A MESSI LO CAGAMOS A PIÑAS ENTRE TODOS",FALSE,0,NA,2018-06-17 06:02:19,FALSE,NA,"1008228324144009217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pepilloo99",17774,TRUE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/1000197305151164416/QEo37eBD_normal.jpg"
"546","RT @superliderJun: messi messi MESSICO MESSICO 

JAJAJAJA NO PUEDO
#DesmadrePreGoliza 

 https://t.co/8LnIq4FNbE",FALSE,0,NA,2018-06-17 06:02:18,FALSE,NA,"1008228323108024320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nicolasanglas_g",574,TRUE,FALSE,NA,NA,"Santiago, Chile","es","http://pbs.twimg.com/profile_images/996792143355183105/CHe_U8G4_normal.jpg"
"547","RT @arushb: Iceland defenders against Messi be like...
#ARGISL https://t.co/eaQblbm82I",FALSE,0,NA,2018-06-17 06:02:18,FALSE,NA,"1008228320998125569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","best07_legend",3638,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/968614945645461504/whRglYkY_normal.jpg"
"548","RT @rwohan: In 2016, Iceland tied Portugal, 1-1. Ronaldo took 10 shots, no goals.

In 2018, Iceland tied Argentina, 1-1. Messi took 11 shot…",FALSE,0,NA,2018-06-17 06:02:17,FALSE,NA,"1008228315340197888",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ThejaneKhothat1",13427,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1002266823671320576/EHYas6Qa_normal.jpg"
"549","Los minutos de la copa del mundo Capitulo 3 ""Messi falla penal"": https://t.co/DJoQIPJKAM a través de @YouTube",FALSE,0,NA,2018-06-17 06:02:16,FALSE,NA,"1008228313494708225",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","oscarbaezramos",0,FALSE,FALSE,NA,NA,"CDMX","es","http://pbs.twimg.com/profile_images/1005892382137647104/xPTDMwxl_normal.jpg"
